frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
1,0.0000,0.7604,-1.2141,7.6495,7.7825,13.3907,732.5682,212.2022,yolo
2,0.0333,0.7586,-1.2102,7.6302,7.7627,13.4247,732.5781,212.3076,yolo
3,0.0667,0.7638,-1.2182,7.6841,7.8174,13.3305,732.5612,212.3674,yolo
4,0.1000,0.7648,-1.2204,7.6977,7.8313,13.3068,732.5148,212.3664,yolo
5,0.1333,0.7658,-1.2220,7.7090,7.8427,13.2874,732.4986,212.3909,yolo
6,0.1667,0.7637,-1.2202,7.6940,7.8275,13.3134,732.4279,212.3123,yolo
7,0.2000,0.7637,-1.2215,7.6980,7.8316,13.3064,732.3887,212.2335,yolo
8,0.2333,0.7642,-1.2240,7.7089,7.8428,13.2876,732.3091,212.1410,yolo
9,0.2667,0.7605,-1.2201,7.6805,7.8140,13.3366,732.2033,212.0690,yolo
10,0.3000,0.7586,-1.2179,7.6658,7.7989,13.3623,732.1549,212.0536,yolo
11,0.3333,0.7571,-1.2162,7.6536,7.7865,13.3836,732.1107,212.0268,yolo
12,0.3667,0.7571,-1.2155,7.6500,7.7829,13.3898,732.1604,212.0465,yolo
13,0.4000,0.7401,-1.1821,7.4718,7.6009,13.7092,732.2325,212.6756,yolo
14,0.4333,0.7485,-1.1940,7.5477,7.6781,13.5714,732.3490,212.6872,yolo
15,0.4667,0.7345,-1.1722,7.4089,7.5369,13.8256,732.3224,212.6648,yolo
16,0.5000,0.7261,-1.1578,7.3204,7.4469,13.9928,732.3621,212.7194,yolo
17,0.5333,0.7177,-1.1448,7.2357,7.3607,14.1566,732.3702,212.6722,yolo
18,0.5667,0.7102,-1.1338,7.1662,7.2900,14.2938,732.2846,212.6642,yolo
19,0.6000,0.7068,-1.1301,7.1393,7.2626,14.3477,732.1877,212.5991,yolo
20,0.6333,0.7069,-1.1304,7.1354,7.2589,14.3556,732.2537,212.4738,yolo
21,0.6667,0.7081,-1.1308,7.1362,7.2598,14.3540,732.4032,212.4411,yolo
22,0.7000,0.7060,-1.1257,7.1070,7.2302,14.4129,732.5008,212.5048,yolo
23,0.7333,0.7008,-1.1174,7.0567,7.1789,14.5157,732.4768,212.5476,yolo
24,0.7667,0.6999,-1.1161,7.0501,7.1721,14.5293,732.4409,212.5813,yolo
25,0.8000,0.6982,-1.1157,7.0459,7.1678,14.5379,732.2771,212.5523,yolo
26,0.8333,0.6999,-1.1191,7.0656,7.1878,14.4974,732.2441,212.5142,yolo
27,0.8667,0.7016,-1.1228,7.0877,7.2103,14.4522,732.1731,212.4823,yolo
28,0.9000,0.7020,-1.1244,7.0951,7.2179,14.4371,732.1399,212.4237,yolo
29,0.9333,0.7073,-1.1283,7.1173,7.2408,14.3921,732.5384,212.3792,yolo
30,0.9667,0.7082,-1.1293,7.1292,7.2527,14.3680,732.5100,212.4989,yolo
31,1.0000,0.7064,-1.1249,7.1048,7.2279,14.4174,732.5919,212.5670,yolo
32,1.0333,0.7021,-1.1178,7.0626,7.1849,14.5036,732.5669,212.6193,yolo
33,1.0667,0.7035,-1.1171,7.0654,7.1877,14.4977,732.7258,212.7658,yolo
34,1.1000,0.7026,-1.1153,7.0552,7.1773,14.5186,732.7405,212.7925,yolo
35,1.1333,0.7006,-1.1114,7.0335,7.1551,14.5636,732.7597,212.8562,yolo
36,1.1667,0.6982,-1.1086,7.0172,7.1384,14.5974,732.6471,212.8873,yolo
