frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
1,0.0000,732.57,212.20,13.39,0.748,yolo,732.57,212.20,0.00,0.00,2.18
2,0.0333,732.42,212.36,13.45,0.744,yolo,732.49,212.29,-0.05,0.06,1.64
3,0.0667,732.36,212.39,13.23,0.751,yolo,732.43,212.34,-0.14,0.12,1.49
4,0.1000,732.39,212.31,13.29,0.755,yolo,732.41,212.33,-0.17,0.10,1.44
5,0.1333,732.36,212.32,13.28,0.755,yolo,732.39,212.33,-0.21,0.09,1.44
6,0.1667,732.19,212.12,13.35,0.763,yolo,732.30,212.25,-0.42,-0.14,1.44
7,0.2000,732.23,212.09,13.31,0.768,yolo,732.26,212.18,-0.49,-0.31,1.44
8,0.2333,732.02,211.97,13.27,0.783,yolo,732.15,212.08,-0.74,-0.54,1.45
9,0.2667,732.03,211.96,13.40,0.773,yolo,732.08,212.02,-0.86,-0.66,1.45
10,0.3000,732.00,212.01,13.40,0.770,yolo,732.03,212.01,-0.92,-0.65,1.45
11,0.3333,732.03,212.00,13.41,0.778,yolo,732.01,211.99,-0.90,-0.63,1.45
12,0.3667,732.01,212.07,13.39,0.772,yolo,731.99,212.01,-0.87,-0.52,1.45
13,0.4000,732.22,212.48,14.11,0.715,yolo,732.07,212.20,-0.58,0.04,1.45
14,0.4333,732.35,212.73,13.36,0.705,yolo,732.18,212.42,-0.24,0.63,1.45
15,0.4667,732.16,212.68,14.13,0.666,yolo,732.17,212.54,-0.26,0.89,1.45
16,0.5000,732.20,212.77,14.16,0.668,yolo,732.17,212.65,-0.21,1.11,1.45
17,0.5333,732.07,212.71,14.31,0.672,yolo,732.13,212.70,-0.32,1.13,1.45
18,0.5667,731.97,212.61,14.40,0.716,yolo,732.05,212.68,-0.48,0.99,1.45
19,0.6000,732.07,212.50,14.34,0.695,yolo,732.05,212.63,-0.44,0.75,1.45
20,0.6333,732.45,212.30,14.29,0.681,yolo,732.21,212.51,0.01,0.37,1.44
21,0.6667,732.46,212.41,14.28,0.657,yolo,732.31,212.47,0.28,0.25,1.44
22,0.7000,732.18,212.59,14.42,0.657,yolo,732.27,212.52,0.13,0.37,1.44
23,0.7333,731.95,212.54,14.58,0.667,yolo,732.14,212.54,-0.22,0.37,1.44
24,0.7667,731.91,212.53,14.48,0.667,yolo,732.04,212.54,-0.45,0.35,1.44
25,0.8000,731.76,212.39,14.48,0.708,yolo,731.92,212.49,-0.73,0.17,1.44
26,0.8333,731.91,212.41,14.38,0.700,yolo,731.90,212.46,-0.72,0.09,1.44
27,0.8667,731.82,212.41,14.33,0.676,yolo,731.85,212.44,-0.78,0.03,1.44
28,0.9000,731.83,212.41,14.37,0.687,yolo,731.83,212.43,-0.77,-0.01,1.44
29,0.9333,732.14,212.53,14.29,0.681,yolo,731.94,212.47,-0.40,0.11,1.44
30,0.9667,732.10,212.64,14.30,0.676,yolo,732.00,212.54,-0.22,0.29,1.44
31,1.0000,732.30,212.64,14.45,0.684,yolo,732.12,212.59,0.11,0.38,1.44
32,1.0333,732.26,212.70,14.58,0.677,yolo,732.18,212.64,0.25,0.49,1.44
33,1.0667,732.33,212.81,14.45,0.687,yolo,732.25,212.72,0.41,0.65,1.44
34,1.1000,732.29,212.83,14.51,0.708,yolo,732.28,212.78,0.44,0.75,1.44
35,1.1333,732.26,212.90,14.59,0.726,yolo,732.28,212.84,0.42,0.85,1.44
36,1.1667,732.25,212.86,14.60,0.730,yolo,732.27,212.87,0.37,0.84,1.44
37,1.2000,732.33,212.79,14.48,0.753,yolo,732.30,212.85,0.41,0.72,1.44
38,1.2333,732.41,212.76,14.42,0.754,yolo,732.36,212.83,0.51,0.59,1.44
39,1.2667,732.43,212.76,14.42,0.738,yolo,732.40,212.81,0.57,0.50,1.44
40,1.3000,732.41,212.84,14.41,0.747,yolo,732.42,212.83,0.57,0.52,1.44
41,1.3333,732.52,212.76,14.48,0.742,yolo,732.47,212.81,0.67,0.42,1.44
42,1.3667,732.76,212.74,14.39,0.752,yolo,732.60,212.79,0.95,0.32,1.44
43,1.4000,732.60,212.55,14.50,0.747,yolo,732.62,212.70,0.91,0.05,1.44
44,1.4333,732.57,212.44,14.58,0.752,yolo,732.62,212.59,0.83,-0.22,1.44
45,1.4667,732.69,212.18,14.63,0.744,yolo,732.66,212.42,0.87,-0.66,1.44
46,1.5000,733.36,211.87,14.40,0.699,yolo,732.97,212.17,1.59,-1.23,1.44
47,1.5333,732.80,211.73,14.50,0.704,yolo,732.93,211.96,1.35,-1.67,1.44
48,1.5667,732.22,211.94,14.65,0.710,yolo,732.66,211.92,0.54,-1.63,1.44
49,1.6000,732.00,212.09,14.17,0.671,yolo,732.40,211.96,-0.19,-1.39,1.44
50,1.6333,733.03,212.08,14.33,0.684,yolo,732.66,211.98,0.50,-1.22,1.44
51,1.6667,733.46,212.18,14.03,0.667,yolo,733.00,212.04,1.35,-0.96,1.44
52,1.7000,734.41,212.49,14.50,0.716,yolo,733.61,212.21,2.82,-0.44,1.44
